"_id","_labels","atcClassification","category","class","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"0",":Protein","","biolink:Protein","","","","[""ENSG00000198732""]","","64093","9606","intact_covid","","SMOC1","","Q9H4F8",,,,,,,,,,
"1",":Protein","","biolink:Protein","","","","[""ENSG00000136936""]","","7507","9606","intact_covid","","XPA","","P23025",,,,,,,,,,
"2",":Protein","","biolink:Protein","","","","[""ENSG00000147601""]","","7013","9606","intact_covid","","TERF1","","P54274",,,,,,,,,,
"4",":Drug","A02BD16,A02BD,A02B,A02,A,Drug;A02BC01,A02BC,A02B,A02,A,Drug;A02BD01,A02BD,A02B,A02,A,Drug;A02BD05,A02BD,A02B,A02,A,Drug","Cytochrome P-450 CYP2D6 Inhibitors, Benzimidazoles, Enzyme Inhibitors, Proton-pump Inhibitors, Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP1A2 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Anti-Ulcer Agents, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Enzyme Inducers, Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord), Sulfur Compounds, Alimentary Tract and Metabolism, Acid Reducers, Cytochrome P-450 CYP2C8 Substrates, Drugs for Acid Related Disorders, Gastrointestinal Agents, Pyridines, Cytochrome P-450 CYP2C18 Substrates, Proton Pump Inhibitors, P-glycoprotein substrates, Cytochrome P-450 CYP3A4 Inducers, BCRP/ABCG2 Inhibitors, Sulfoxides, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C9 Substrates, Heterocyclic Compounds, Fused-Ring, Gastric Acid Lowering Agents, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP1A2 Inducers, 2-Pyridinylmethylsulfinylbenzimidazoles, Cytochrome P-450 CYP2C19 Inhibitors (weak), P-glycoprotein inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (weak)","","","DB00338","","Omeprazole","","","","","","Drug","",,,,,,,,,,
"7",":Protein","","biolink:Protein","","","","[""ENSG00000138398""]","","9360","9606","intact_covid","","PPIG","","Q13427",,,,,,,,,,
"13",":Drug","D11AH02,D11AH,D11A,D11,D,Drug","Agents for Dermatitis, Excluding Corticosteroids, Analgesics, Non-Narcotic, Immunologic Factors, Enzyme Inhibitors, Cytochrome P-450 Substrates, Immunosuppressive Agents, Sensory System Agents, Anti-Inflammatory Agents, Calcineurin Inhibitor Immunosuppressant, Dermatologicals, Misc. Skin and Mucous Membrane Agents, Cytochrome P-450 CYP3A4 Substrates, Lactones, Peripheral Nervous System Agents, Calcineurin Inhibitors, Peptidylprolyl Isomerase, antagonists & inhibitors, Analgesics, Cytochrome P-450 CYP3A Substrates","","","DB00337","","Pimecrolimus","","","","","","Drug","",,,,,,,,,,
"14",":Protein","","biolink:Protein","","","","[""N/A""]","","N/A","694009","intact_covid","","ORF7a","","Q19QW4",,,,,,,,,,
"18",":Protein","","biolink:Protein","","","","[""ENSG00000163930""]","","8314","9606","intact_covid","","BAP1","","Q92560",,,,,,,,,,
"19",":Protein","","biolink:Protein","","","","[""ENSG00000099284""]","","55506","9606","intact_covid","","MACROH2A2","","Q9P0M6",,,,,,,,,,
"21",":Protein","","biolink:Protein","","","","[""ENSG00000143740""]","","116841","9606","intact_covid","","SNAP47","","Q5SQN1",,,,,,,,,,
"22",":Protein","","biolink:Protein","","","","[""ENSG00000167397""]","","79001","9606","intact_covid","","VKORC1","","Q9BQB6",,,,,,,,,,
"23",":Protein","","biolink:Protein","","","","[""ENSG00000117602""]","","11123","9606","intact_covid","","RCAN3","","Q9UKA8",,,,,,,,,,
"25",":Protein","","biolink:Protein","","","","[""ENSG00000008988""]","","6224","9606","intact_covid","","RPS20","","P60866",,,,,,,,,,
