child,parent
DB00393,C08CA06
DB00390,C01AA05
DB00398,L01EX02
DB14975,B06AX03
DB14973,D11AH08
DB00338,A02BD16
DB00338,A02BC01
DB00338,A02BD01
DB00338,A02BD05
DB00337,D11AH02
DB14989,Drug
DB12328,Drug
DB00346,G04CA51
DB00346,G04CA01
DB04703,Drug
DB12332,L01XK03
DB14996,L04AA55
DB14999,Drug
DB16703,L04AA48
DB00360,A16AX07
DB00364,A02BX02
DB00361,L01CA04
DB00368,C01CA03
DB15434,Drug
DB11075,S01KA02
DB11077,Drug
DB11079,Drug
DB11071,G04BX12
DB15442,V03AF12
DB11094,Drug
DB11093,A12AA13
DB11093,A11GB01
DB11942,L01XX66
DB06595,L01EX10
DB11945,L01FF04
DB05260,Drug
DB11952,L01EM04
DB11963,L01EB07
DB11967,L01EE03
DB11976,L04AA51
DB05299,Drug
DB05294,L01EX04
DB05239,L01EE02
DB05259,L03AX13
DB06589,L01EX03
DB00412,A10BG02
DB00412,A10BD04
DB00412,A10BD03
DB00435,R07AX01
DB13751,A05BA08
DB00441,L01BC05
DB11986,L01EX14
DB01708,G03EA03
DB01708,G03XX01
DB01708,A14AA07
DB11995,B02BX08
DB04855,C01BD07
DB00493,J01DD01
DB00494,N04BX02
DB00499,L02BB01
DB00498,B01AA02
DB12483,L01EM02
DB04868,L01EA03
DB04876,A10BH02
DB04876,A10BD08
DB00451,H03AA01
DB00452,R01AX08
DB00452,D09AA01
DB00452,S01AA07
DB00605,M01AB02
DB00454,N02AB02
DB00454,N02AB52
DB00454,N02AB72
DB00454,N02AG03
DB00459,D05BB02
DB00457,C02CA01
DB00457,C02LE01
DB00458,N06AA02
DB15534,Drug
DB11300,B02BD30
DB11300,B02BC06
DB13961,Drug
DB13967,V04CX09
DB04820,N06AF02
DB00461,M01AX01
DB00465,M01AB15
DB00465,S01FB51
DB00465,S01BC05
DB11311,Drug
DB11312,B01AD12
DB00469,M01AC02
DB11120,Drug
DB00661,C09BB10
DB00661,C08DA51
DB00661,C08DA01
DB13783,M01AB11
DB00668,A01AD01
DB00668,C01CA24
DB00668,S01EA01
DB00668,R03AA01
DB00668,R01AA14
DB00668,B02BC09
DB00668,R03AK01
DB00668,S01EA51
DB11124,Drug
DB11323,Drug
DB11328,Drug
DB11327,Drug
DB00473,Drug
DB00675,L02BA01
DB00677,Drug
DB13996,Drug
DB13995,Drug
DB04835,J05AX09
DB13998,Drug
DB16820,Drug
DB11133,Drug
DB11338,Drug
DB13999,Drug
DB00682,B01AA03
DB00680,C01BG01
DB00686,C05BA04
DB00686,G04BX15
DB00480,L04AX04
DB09019,R05CB02
DB00481,G03XC01
DB00688,Drug
DB00608,P01BA01
DB00608,P01BB52
DB00482,M01AH01
DB00482,G01AE10
DB00482,N02AJ16
DB00482,L01XX33
DB00482,C08CA51
DB04847,B03XA05
DB13926,S01XA24
DB06637,N07XX07
DB15598,B03AB10
DB00615,A02BD16
