node	type
59272	gene
4922	gene
5478	gene
P59595	gene
Q5GDB5	gene
7341	gene
3178	gene
1489680	gene
9550	gene
595	gene
1019	gene
1027	gene
1017	gene
898	gene
890	gene
5743	gene
P59635	gene
6449	gene
7329	gene
P59632	gene
P59596	gene
P59594	gene
P59637	gene
Q7TFA1	gene
P0C6U8	gene
P59636	gene
Q19QW5	gene
Q7TLC7	gene
3837	gene
6772	gene
3836	gene
6773	gene
A0A3G5BIZ0	gene
3838	gene
3661	gene
1387	gene
8665	gene
1917	gene
11331	gene
5245	gene
5648	gene
4153	gene
8547	gene
5706	gene
567	gene
3105	gene
92359	gene
64398	gene
10540	gene
7917	gene
Q19QW2	gene
54535	gene
7013	gene
57409	gene
9146	gene
79001	gene
Q19QW4	gene
11200	gene
7681	gene
23564	gene
408050	gene
P59634	gene
4140	gene
Q6S8E0	gene
116841	gene
819	gene
Q7T6S2	gene
710	gene
23609	gene
5683	gene
23429	gene
25978	gene
6224	gene
9360	gene
10465	gene
2280	gene
55506	gene
81887	gene
11123	gene
100293534	gene
10747	gene
720	gene
P59633	gene
861	gene
5925	gene
340061	gene
23586	gene
23513	gene
53616	gene
1501	gene
3768	gene
3761	gene
2904	gene
1739	gene
10276	gene
55615	gene
57105	gene
55914	gene
8502	gene
8874	gene
10928	gene
146	gene
6300	gene
9758	gene
2977	gene
729025	gene
642968	gene
29110	gene
57506	gene
6386	gene
7428	gene
Q92617	gene
55421	gene
4686	gene
817	gene
25898	gene
7157	gene
64135	gene
8575	gene
3840	gene
3839	gene
J9TC74	gene
11035	gene
9636	gene
P0DTC2	gene
340024	gene
10197	gene
P0DTC9	gene
7316	gene
P0DTD1	gene
6733	gene
55922	gene
7314	gene
983	gene
891	gene
55621	gene
2876	gene
6902	gene
P0DTC1	gene
9868	gene
23765	gene
P0DTC8	gene
3066	gene
55027	gene
P0DTC7	gene
23195	gene
8829	gene
P0DTC6	gene
2335	gene
6732	gene
2932	gene
682	gene
P0DTC5	gene
7187	gene
