"_id","_labels","atcClassification","category","class","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"2",":Protein","","biolink:Protein","","","","[""ENSG00000292334"",""ENSG00000169100""]","","293","9606","intact_covid","","SLC25A6","","P12236",,,,,,,,,,
"5",":Disease","","","C16;C18;C20;C10;C15","C0398691","","","Hyperimmunoglobulinemia D","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"6",":Disease","","","C16;C18;C20;C10;C15","C1959626","","","Mevalonic Aciduria","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"11",":Protein","","biolink:Protein","","","","[""ENSG00000151502""]","","112936","9606","intact_covid","","VPS26B","","Q4G0F5",,,,,,,,,,
"14",":Disease","","","C23;C16;C06;C10","C1845546","","","FG SYNDROME 4 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"15",":Disease","","","C16;C05;C10","C2677903","","","Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"17",":Disease","","","C16;C18;C20;C10;C15","C0342731","","","Deficiency of mevalonate kinase","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"18",":Protein","","biolink:Protein","","","","[""ENSG00000135766""]","","54583","9606","intact_covid","","EGLN1","","Q9GZT9",,,,,,,,,,
"19",":Protein","","biolink:Protein","","","","[""ENSG00000069329""]","","55737","9606","intact_covid","","VPS35","","Q96QK1",,,,,,,,,,
"20",":Disease","","","C16;C17","C1867981","","","POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"25",":Protein","","biolink:Protein","","","","[""ENSG00000065054""]","","9351","9606","intact_covid","","NHERF2","","Q15599",,,,,,,,,,
"26",":Disease","","","C16;C06;C05;C10;C14","C1848599","","","VACTERL Association With Hydrocephalus","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"28",":Protein","","biolink:Protein","","","","[""ENSG00000141580""]","","56270","9606","intact_covid","","WDR45B","","Q5MNZ6",,,,,,,,,,
"29",":Disease","","","C23;C10;F03;F01","C2750791","","","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"30",":Protein","","biolink:Protein","","","","[""ENSG00000174276""]","","741","9606","intact_covid","","ZNHIT2","","Q9UHR6",,,,,,,,,,
"32",":Disease","","","C16;C18","C1704429","","","Hypoalphalipoproteinemia, Familial","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"35",":Disease","","","C16;C17","C0949506","","","Porokeratosis of Mibelli","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"38",":Disease","","","C16;C05;C10","C0025958","","","Microcephaly","","","","Congenital Abnormality","","disease","",,,,,,,,,,
"41",":Disease","","","C10","C0037769","","","West Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"42",":Protein","","biolink:Protein","","","","[""ENSG00000152413""]","","9456","9606","intact_covid","","HOMER1","","Q86YM7",,,,,,,,,,
"43",":Protein","","biolink:Protein","","","","[""ENSG00000150961""]","","9871","9606","intact_covid,pathway","","SEC24D","","O94855",,,,,,,,,,
"44",":Protein","","biolink:Protein","","","","[""ENSG00000166851""]","","5347","9606","intact_covid","","PLK1","","P53350",,,,,,,,,,
"48",":Disease","","","C16;C05;C10","C2750785","","","MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"49",":Protein","","biolink:Protein","","","","[""ENSG00000085415""]","","81929","9606","intact_covid,pathway","","SEH1L","","Q96EE3",,,,,,,,,,
"53",":Protein","","biolink:Protein","","","","[""ENSG00000051128""]","","9454","9606","intact_covid","","HOMER3","","Q9NSC5",,,,,,,,,,
"54",":Protein","","biolink:Protein","","","","[""ENSG00000159231""]","","874","9606","intact_covid","","CBR3","","O75828",,,,,,,,,,
"55",":Protein","","biolink:Protein","","","","[""ENSG00000157456""]","","9133","9606","intact_covid,pathway","","CCNB2","","O95067",,,,,,,,,,
"56",":Disease","","","C16;C10","C1854154","","","Charcot-Marie-Tooth disease, Type 2B1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"58",":Disease","","","C18;C17;C05","C0432291","","","Mandibuloacral dysostosis","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"59",":Protein","","biolink:Protein","","","","[""ENSG00000176986""]","","9632","9606","intact_covid,pathway","","SEC24C","","P53992",,,,,,,,,,
"61",":Disease","","","C18;C17","C1720860","","","Familial Partial Lipodystrophy, Type 2","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"62",":Protein","","biolink:Protein","","","","[""ENSG00000198420""]","","9747","9606","intact_covid","","TCAF1","","Q9Y4C2",,,,,,,,,,
"64",":Protein","","biolink:Protein","","","","[""ENSG00000111237""]","","51699","9606","intact_covid","","VPS29","","Q9UBQ0",,,,,,,,,,
"65",":Protein","","biolink:Protein","","","","[""ENSG00000101310""]","","10483","9606","intact_covid","","SEC23B","","Q15437",,,,,,,,,,
"69",":Protein","","biolink:Protein","","","","[""ENSG00000123908""]","","27161","9606","intact_covid","","AGO2","","Q9UKV8",,,,,,,,,,
"70",":Protein","","biolink:Protein","","","","[""ENSG00000197122"",""ENSG00000291971""]","","6714","9606","intact_covid","","SRC","","P12931",,,,,,,,,,
"73",":Disease","","","C16;C13;C12;C19;C14","C0796031","","","Malouf syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"74",":Disease","","","C23;C10;C09","C1858172","","","Deafness, Autosomal Dominant 20","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"75",":Protein","","biolink:Protein","","","","[""ENSG00000136875""]","","9128","9606","intact_covid","","PRPF4","","O43172",,,,,,,,,,
