"_id","_labels","atcClassification","category","class","detail","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"0",":Protein","","biolink:Protein","","","","","[""ENSG00000292334"",""ENSG00000169100""]","","293","9606","intact_covid","","SLC25A6","","P12236",,,,,,,,,,
"1",":Protein","","biolink:Protein","","","","","[""ENSG00000151502""]","","112936","9606","intact_covid","","VPS26B","","Q4G0F5",,,,,,,,,,
"3",":Protein","","biolink:Protein","","","","","[""ENSG00000135766""]","","54583","9606","intact_covid","","EGLN1","","Q9GZT9",,,,,,,,,,
"4",":Protein","","biolink:Protein","","","","","[""ENSG00000069329""]","","55737","9606","intact_covid","","VPS35","","Q96QK1",,,,,,,,,,
"5",":Disease","","","C16;C20","","C3151189","","","C9 Deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"6",":Disease","","","C23;C16;C05;C10;F03;C07;F01","","C0265342","","","Cerebrocostomandibular Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"7",":Protein","","biolink:Protein","","","","","[""ENSG00000110074""]","","55572","9606","intact_covid,pathway","","FOXRED1","","Q96CU9",,,,,,,,,,
"8",":Protein","","biolink:Protein","","","","","[""ENSG00000065054""]","","9351","9606","intact_covid","","NHERF2","","Q15599",,,,,,,,,,
"9",":Protein","","biolink:Protein","","","","","[""ENSG00000141580""]","","56270","9606","intact_covid","","WDR45B","","Q5MNZ6",,,,,,,,,,
"10",":Protein","","biolink:Protein","","","","","[""ENSG00000174276""]","","741","9606","intact_covid","","ZNHIT2","","Q9UHR6",,,,,,,,,,
"12",":Disease","","","C16;C18;C13;C05;C12","","C0342646","","","Vitamin D-Dependent Rickets, Type 2A","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"14",":Protein","","biolink:Protein","","","","","[""ENSG00000152413""]","","9456","9606","intact_covid","","HOMER1","","Q86YM7",,,,,,,,,,
"15",":Protein","","biolink:Protein","","","","","[""ENSG00000150961""]","","9871","9606","intact_covid,pathway","","SEC24D","","O94855",,,,,,,,,,
"16",":Protein","","biolink:Protein","","","","","[""ENSG00000166851""]","","5347","9606","intact_covid","","PLK1","","P53350",,,,,,,,,,
"17",":Disease","","","C16;C18;C20","","C2931299","","","ZAP70 deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"20",":Protein","","biolink:Protein","","","","","[""ENSG00000085415""]","","81929","9606","intact_covid,pathway","","SEH1L","","Q96EE3",,,,,,,,,,
"22",":Protein","","biolink:Protein","","","","","[""ENSG00000051128""]","","9454","9606","intact_covid","","HOMER3","","Q9NSC5",,,,,,,,,,
"23",":Protein","","biolink:Protein","","","","","[""ENSG00000159231""]","","874","9606","intact_covid","","CBR3","","O75828",,,,,,,,,,
"24",":Protein","","biolink:Protein","","","","","[""ENSG00000157456""]","","9133","9606","intact_covid,pathway","","CCNB2","","O95067",,,,,,,,,,
"26",":Disease","","","C16;C20","","C1864694","","","Complement Component 7 Deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"27",":Protein","","biolink:Protein","","","","","[""ENSG00000176986""]","","9632","9606","intact_covid,pathway","","SEC24C","","P53992",,,,,,,,,,
"29",":Protein","","biolink:Protein","","","","","[""ENSG00000198420""]","","9747","9606","intact_covid","","TCAF1","","Q9Y4C2",,,,,,,,,,
"31",":Protein","","biolink:Protein","","","","","[""ENSG00000111237""]","","51699","9606","intact_covid","","VPS29","","Q9UBQ0",,,,,,,,,,
"32",":Protein","","biolink:Protein","","","","","[""ENSG00000101310""]","","10483","9606","intact_covid","","SEC23B","","Q15437",,,,,,,,,,
"34",":Protein","","biolink:Protein","","","","","[""ENSG00000123908""]","","27161","9606","intact_covid","","AGO2","","Q9UKV8",,,,,,,,,,
"35",":Protein","","biolink:Protein","","","","","[""ENSG00000197122"",""ENSG00000291971""]","","6714","9606","intact_covid","","SRC","","P12931",,,,,,,,,,
"36",":Protein","","biolink:Protein","","","","","[""ENSG00000136875""]","","9128","9606","intact_covid","","PRPF4","","O43172",,,,,,,,,,
"37",":Protein","","biolink:Protein","","","","","[""ENSG00000164919""]","","1345","9606","intact_covid,pathway","","COX6C","","P09669",,,,,,,,,,
"38",":Protein","","biolink:Protein","","","","","[""ENSG00000072506""]","","3028","9606","intact_covid","","HSD17B10","","Q99714",,,,,,,,,,
"40",":Disease","","","C16;C20","","C3151071","","","COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"41",":Protein","","biolink:Protein","","","","","[""ENSG00000188976""]","","26155","9606","intact_covid","","NOC2L","","Q9Y3T9",,,,,,,,,,
"47",":Protein","","biolink:Protein","","","","","[""ENSG00000133265""]","","23640","9606","intact_covid","","HSPBP1","","Q9NZL4",,,,,,,,,,
"48",":Protein","","biolink:Protein","","","","","[""ENSG00000244509""]","","27350","9606","intact_covid","","APOBEC3C","","Q9NRW3",,,,,,,,,,
"50",":Protein","","biolink:Protein","","","","","[""ENSG00000088205""]","","8886","9606","intact_covid","","DDX18","","Q9NVP1",,,,,,,,,,
"51",":Protein","","biolink:Protein","","","","","[""ENSG00000225998"",""ENSG00000236826"",""ENSG00000224979"",""ENSG00000172850"",""ENSG00000204392"",""ENSG00000231502""]","","57819","9606","intact_covid","","LSM2","","Q9Y333",,,,,,,,,,
"56",":Disease","","","C23;C10;F03;F01","","C1970200","","","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 12","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"58",":Protein","","biolink:Protein","","","","","[""ENSG00000149657""]","","149986","9606","intact_covid","","LSM14B","","Q9BX40",,,,,,,,,,
"61",":Disease","","","C10","","C0085084","","","Motor Neuron Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"67",":Protein","","biolink:Protein","","","","","[""ENSG00000213782""]","","51202","9606","intact_covid","","DDX47","","Q9H0S4",,,,,,,,,,
"68",":Protein","","biolink:Protein","","","","","[""ENSG00000205571"",""ENSG00000172062"",""ENSG00000277773"",""ENSG00000273772"",""ENSG00000275349""]","","6606","9606","intact_covid,pathway","","SMN2","","A0A1W2PRV5",,,,,,,,,,
"71",":Protein","","biolink:Protein","","","","","[""ENSG00000055044""]","","51602","9606","intact_covid","","NOP58","","Q9Y2X3",,,,,,,,,,
"72",":Protein","","biolink:Protein","","","","","[""ENSG00000291996"",""ENSG00000182117""]","","55505","9606","intact_covid","","NOP10","","Q9NPE3",,,,,,,,,,
"73",":Disease","","","C16;C05;C19","","C1855548","","","Laron syndrome type 2","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"74",":Disease","","","C15","","C3280976","","","Thrombophilia due to Thrombomodulin Defect","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"77",":Disease","","","C19","","C0018021","","","Goiter","","","","Disease or Syndrome","","phenotype","",,,,,,,,,,
"79",":Protein","","biolink:Protein","","","","","[""ENSG00000115211""]","","8890","9606","intact_covid,pathway","","EIF2B4","","Q9UI10",,,,,,,,,,
"82",":Protein","","biolink:Protein","","","","","[""ENSG00000125484""]","","9329","9606","intact_covid","","GTF3C4","","Q9UKN8",,,,,,,,,,
"89",":Protein","","biolink:Protein","","","","","[""ENSG00000143198""]","","4259","9606","intact_covid","","MGST3","","O14880",,,,,,,,,,
"93",":Disease","","","C16;C05;C19","","C1291299","","","Deficiency of iodide peroxidase (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"95",":Disease","","","C16;C04;C10","","C1854465","","","TUBEROUS SCLEROSIS 1 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"97",":Disease","","","C16;C20","","C2676232","","","Complement Component 6 Deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"99",":Protein","","biolink:Protein","","","","","[""ENSG00000006712""]","","54623","9606","intact_covid","","PAF1","","Q8N7H5",,,,,,,,,,
"100",":Protein","","biolink:Protein","","","","","[""ENSG00000145912""]","","55651","9606","intact_covid","","NHP2","","Q9NX24",,,,,,,,,,
"101",":Protein","","biolink:Protein","","","","","[""ENSG00000282130"",""ENSG00000185115""]","","56160","9606","intact_covid","","NSMCE3","","Q96MG7",,,,,,,,,,
"105",":Disease","","","C16;C18;C05;C10;F03","","C4551951","","","Inclusion Body Myopathy with Early-Onset Paget Disease with or without Frontotemporal Dementia 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"111",":Protein","","biolink:Protein","","","","","[""ENSG00000109534""]","","54433","9606","intact_covid","","GAR1","","Q9NY12",,,,,,,,,,
"114",":Protein","","biolink:Protein","","","","","[""ENSG00000123562""]","","9643","9606","intact_covid","","MORF4L2","","Q15014",,,,,,,,,,
"116",":Protein","","biolink:Protein","","","","","[""ENSG00000179091""]","","1537","9606","intact_covid","","CYC1","","P08574",,,,,,,,,,
"117",":Protein","","biolink:Protein","","","","","[""ENSG00000143793""]","","79169","9606","intact_covid","","MMTAG2","","Q9BU76",,,,,,,,,,
"118",":Protein","","biolink:Protein","","","","","[""ENSG00000163466""]","","10109","9606","intact_covid","","ARPC2","","O15144",,,,,,,,,,
"119",":Protein","","biolink:Protein","","","","","[""ENSG00000196544""]","","54785","9606","intact_covid","","BORCS6","","Q96GS4",,,,,,,,,,
"121",":Protein","","biolink:Protein","","","","","[""ENSG00000090674""]","","57192","9606","intact_covid,pathway","","MCOLN1","","Q9GZU1",,,,,,,,,,
"123",":Protein","","biolink:Protein","","","","","[""ENSG00000084072""]","","10450","9606","intact_covid","","PPIE","","Q9UNP9",,,,,,,,,,
"124",":Protein","","biolink:Protein","","","","","[""ENSG00000167193""]","","1398","9606","intact_covid","","CRK","","P46108",,,,,,,,,,
"125",":Protein","","biolink:Protein","","","","","[""ENSG00000175197""]","","1649","9606","intact_covid,pathway","","DDIT3","","P35638",,,,,,,,,,
"126",":Protein","","biolink:Protein","","","","","[""ENSG00000149571""]","","84623","9606","intact_covid","","KIRREL3","","Q8IZU9",,,,,,,,,,
"127",":Protein","","biolink:Protein","","","","","[""ENSG00000100083""]","","26088","9606","intact_covid","","GGA1","","Q9UJY5",,,,,,,,,,
"128",":Protein","","biolink:Protein","","","","","[""ENSG00000131187""]","","2161","9606","intact_covid,pathway","","F12","","P00748",,,,,,,,,,
"133",":Protein","","biolink:Protein","","","","","[""ENSG00000162105""]","","22941","9606","intact_covid","","SHANK2","","Q9UPX8",,,,,,,,,,
"134",":Protein","","biolink:Protein","","","","","[""ENSG00000070159""]","","5774","9606","intact_covid","","PTPN3","","P26045",,,,,,,,,,
"135",":Protein","","biolink:Protein","","","","","[""ENSG00000105613""]","","22983","9606","intact_covid","","MAST1","","Q9Y2H9",,,,,,,,,,
"136",":Protein","","biolink:Protein","","","","","[""ENSG00000145335""]","","6622","9606","intact_covid","","SNCA","","P37840",,,,,,,,,,
"137",":Protein","","biolink:Protein","","","","","[""ENSG00000166197""]","","9221","9606","intact_covid","","NOLC1","","Q14978",,,,,,,,,,
"139",":Protein","","biolink:Protein","","","","","[""ENSG00000071539""]","","9319","9606","intact_covid","","TRIP13","","Q15645",,,,,,,,,,
